出表日期,公司代號,公司名稱,大股東名稱
1130525,4609,唐鋒,周文洪
1130525,4702,中美實,香港商金鷹國際貿易有限公司
1130525,4706,大恭,住化色料株式會社
1130525,4706,大恭,喻義投資股份有限公司
1130525,4706,大恭,鄧加惠
1130525,4707,磐亞,中國人造纖維股份有限公司
1130525,4711,永純,林慈環
1130525,4714,永捷,上曜建設開發股份有限公司
1130525,4721,美琪瑪,嚴隆財
1130525,4726,永昕,"JCR Pharmaceuticals Co., Ltd."
1130525,4726,永昕,晟德大藥廠股份有限公司
1130525,4729,熒茂,研華投資股份有限公司
1130525,4729,熒茂,強茂股份有限公司
1130525,4735,豪展,莊明輝
1130525,4741,泓瀚,呂境
1130525,4741,泓瀚,岩玉投資股份有限公司
1130525,4741,泓瀚,霖暘投資有限公司
1130525,4743,合一,中天生物科技股份有限公司
1130525,4745,合富-KY,王瓊芝
1130525,4745,合富-KY,李惇
1130525,4754,國碳科,立熠投資股份有限公司
1130525,4754,國碳科,啟聖實業股份有限公司
1130525,4760,勤凱科技,曾聰乙
1130525,4767,誠泰科技,欣派股份有限公司
1130525,4767,誠泰科技,穩通投資（股）公司
1130525,4768,晶呈科技,陳亞理
1130525,4804,大略-KY,陳偉誌
1130525,4806,桂田文創,易昇鋼鐵股份有限公司
1130525,4806,桂田文創,榮剛材料科技股份有限公司
1130525,4806,桂田文創,慶欣欣鋼鐵股份有限公司
1130525,4903,聯光通,易昇鋼鐵股份有限公司
1130525,4905,台聯電,富鼎科技顧問股份有限公司
1130525,4905,台聯電,華盛國際投資股份有限公司
1130525,4907,富宇,兆品投資股份有限公司
1130525,4907,富宇,兆皇投資股份有限公司
1130525,4911,德英,郭國華
1130525,4924,欣厚-KY,許添華
1130525,4933,友輝,新光合成纖維股份有限公司
1130525,4945,陞達科技,偉詮電子股份有限公司
1130525,4946,辣椒,Times Online Limited
1130525,4946,辣椒,鄧潤澤
1130525,4953,緯軟,緯創數技投資控股股份有限公司
1130525,4974,亞泰,亞洲光學股份有限公司
1130525,4979,華星光,誼虹科技股份有限公司
1130525,4987,科誠,泓泰投資股份有限公司
1130525,4995,晶達,研揚科技股份有限公司
1130525,5009,榮剛,智冠科技股份有限公司
1130525,5011,久陽,台灣鋼鐵股份有限公司
1130525,5014,建錩,大丘園投資股份有限公司
1130525,5016,松和,林廷芳
1130525,5202,力新,大立化妝品股份有限公司
1130525,5202,力新,鑫阿波羅能源股份有限公司
1130525,5205,中茂,高承本
1130525,5206,坤悅,陳丕岳
1130525,5209,新鼎,中鼎工程股份有限公司
1130525,5211,蒙恬,雨杰投資股份有限公司
1130525,5212,凌網,德商德意志銀行台北分行受託保管亞洲價值基金投資專戶
1130525,5213,亞昕,上億投資股份有限公司
1130525,5213,亞昕,永翊開發股份有限公司
1130525,5213,亞昕,益昕投資股份有限公司
1130525,5223,安力-KY,ＡＮＬＩ  ＩＮＴＥＲＮＡＴＩＯＮＡＬ  ＬＩＭＩＴＥＤ
1130525,5227,立凱-KY,凱基商銀託管五龍動力投資有限公
1130525,5228,鈺鎧,大晟機電股份有限公司
1130525,5228,鈺鎧,百容電子股份有限公司
1130525,5236,凌陽創新,凌陽科技股份有限公司
1130525,5245,智晶,晶宜科技股份有限公司
1130525,5251,天鉞電,香港商ARGUS HOLDINGS LIMITED
1130525,5274,信驊,豐驊投資股份有限公司
1130525,5276,達輝-KY,ＬＩＯＮＧＡＴＥ  ＩＮＶＥＳＴ
1130525,5276,達輝-KY,ＷＩＮ  ＲＩＤＥ  ＩＮＶＥＳＴ
1130525,5278,尚凡,林東慶
1130525,5278,尚凡,張家銘
1130525,5299,杰力,朋程科技股份有限公司
1130525,5310,天剛,春豐國際股份有限公司
1130525,5312,寶島科,捷富國際股份有限公司
1130525,5314,世紀,上曜建設開發股份有限公司
1130525,5321,美而快,廖承豪
1130525,5321,美而快,藤美資本管理顧問股份有限公司
1130525,5328,華容,瑞軒科技股份有限公司
1130525,5340,建榮,日東紡績株式會社
1130525,5344,立衛,威盛電子股份有限公司
1130525,5345,天揚,王鏑程
1130525,5347,世界,台灣積體電路製造股份有限公司
1130525,5347,世界,行政院國家發展基金管理會
1130525,5348,正能量智能,能率網通股份有限公司
1130525,5348,正能量智能,財政部國有財產署北區分署
1130525,5353,台林,好德科技股份有限公司
1130525,5364,力麗店,力麒建設股份有限公司
1130525,5371,中光電,泰威先進股份有限公司
1130525,5381,合正,大宇資訊股份有限公司
1130525,5383,金利,建德工業股份有限公司
1130525,5383,金利,健策精密工業股份有限公司
1130525,5386,青雲,柯聰源
1130525,5392,能率,佳能企業股份有限公司
1130525,5392,能率,能率國際股份有限公司
1130525,5398,慕康生醫,華豐經銷股份有限公司
1130525,5426,振發,蔡宗勳
1130525,5432,新門,三門科技股份有限公司
1130525,5432,新門,所羅門股份有限公司
1130525,5432,新門,摩迪投資股份有限公司
1130525,5438,東友,天達投資股份有限公司
1130525,5438,東友,光菱電子股份有限公司
1130525,5438,東友,菱光科技股份有限公司
1130525,5443,均豪,志聖工業股份有限公司
1130525,5450,南良,子良興業股份有限公司
1130525,5452,佶優,永上投資股份有限公司
1130525,5457,宣德,香港商聯滔電子有限公司
1130525,5464,霖宏,張枋霖
1130525,5464,霖宏,劉秀雲
1130525,5465,富驊,偉訓科技股份有限公司
1130525,5468,凱鈺,穎霖投資股份有限公司
1130525,5468,凱鈺,蕭彩雲投資股份有限公司
1130525,5474,聰泰,威聖投資股份有限公司
1130525,5478,智冠,王俊博
1130525,5478,智冠,榮剛材料科技股份有限公司
1130525,5487,通泰,福豐盛投資股份有限公司
1130525,5489,彩富,永鉅投資股份有限公司
1130525,5489,彩富,永馳股份有限公司
1130525,5489,彩富,陳春生
1130525,5508,永信建,永碩投資股份有限公司
1130525,5511,德昌,格正投資股份有限公司
1130525,5516,雙喜,邱宏章
1130525,5516,雙喜,雙慶投資股份有限公司
1130525,5520,力泰,吳源泰投資股份有限公司
1130525,5520,力泰,富源投資股份有限公司
1130525,5523,豐謙,晨譽投資股份有限公司
1130525,5523,豐謙,頌恩營造股份有限公司
1130525,5529,鉅陞,鉅陞投資股份有限公司
1130525,5530,龍巖,福和投資股份有限公司
1130525,5543,桓鼎-KY,張建智
1130525,5548,安倉,光明資產有限公司
1130525,5548,安倉,夏耘股份有限公司
1130525,5548,安倉,張立雍
1130525,5548,安倉,張欣夷
1130525,5603,陸海,何英津
1130525,5701,劍湖山,和盟流通股份有限公司
1130525,5703,亞都麗緻,傲士英投資股份有限公司
1130525,5864,致和證,官田投資開發股份有限公司
1130525,5864,致和證,保利都投資股份有限公司
1130525,5878,台名,台灣領航資產投資股份有限公司
1130525,5902,德記,統一企業股份有限公司
1130525,5903,全家,日商全家便利商店股份有限公司
1130525,5903,全家,萬寶開發股份有限公司
1130525,6015,宏遠證,承達投資顧問股份有限公司
1130525,6020,大展證,力新投資股份有限公司
1130525,6020,大展證,巨發投資股份有限公司
1130525,6020,大展證,朱茂隆
1130525,6020,大展證,昇威投資股份有限公司
1130525,6021,美好證,美好金融科技股份有限公司
1130525,6021,美好證,莊隆慶
1130525,6023,元大期貨,元大金融控股股份有限公司
1130525,6101,寬魚國際,邱漢中
1130525,6103,合邦,多春投資股份有限公司
1130525,6103,合邦,柯拔希
1130525,6113,亞矽,蔡伯宜
1130525,6114,久威,基澤投資有限公司
1130525,6118,建達,弘茂投資股份有限公司
1130525,6124,業強,台北富邦商銀託管海得控股有限公司投資專戶
1130525,6124,業強,芳烈投資有限公司
1130525,6124,業強,薩摩亞商瑞民有限公司
1130525,6125,廣運,謝清福
1130525,6130,上亞科技,合眾投資股份有限公司
1130525,6130,上亞科技,星寶電子科技股份有限公司
1130525,6134,萬旭,日商朝日通信股份有限公司
1130525,6134,萬旭,萬泰科技股份有限公司
